r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,128 Beveren 3,XX,3,1.5,2.5,1.5,2.5,2.5,2,3,3.5,2.5,3,27.5,8.5
2,130 Hoboken 5,1,XX,1,2,2,3,3,3,2.5,2.5,3,4,27,8
3,174 Brasschaat 2,2.5,3,XX,3,0.5,1,0.5,2.5,3,3.5,3.5,3.5,26.5,8
4,712 Tienen 1,1.5,2,1,XX,2.5,1,2.5,3,2,2.5,3.5,3.5,25,7
5,263 Aarschot,2.5,2,3.5,1.5,XX,1.5,1.5,1,3,2.5,2.5,2.5,24,6.5
6,153 Rijke Vorst Rijkevorsel 1,1.5,1,3,3,2.5,XX,2.5,2.5,2.5,1.5,1.5,2,23.5,6.5
7,108 Merksem 2,1.5,1,3.5,1.5,2.5,1.5,XX,2,1.5,3.5,2.5,2.5,23.5,5.5
8,228 Dworp 1,2,1,1.5,1,3,1.5,2,XX,2.5,2,1.5,2.5,20.5,4.5
9,166 TS Mechelen 2,1,1.5,1,2,1,1.5,2.5,1.5,XX,2,3,3,20,4
10,109 Borgerhout 3,0.5,1.5,0.5,1.5,1.5,2.5,0.5,2,2,XX,3.5,1.5,17.5,3
11,176 Westerlo 2,1.5,1,0.5,0.5,1.5,2.5,1.5,2.5,1,0.5,XX,3,16,3
12,249 Ruisbroek,1,0,0.5,0.5,1.5,2,1.5,1.5,1,2.5,1,XX,13,1.5
