dag,tornooi
14 september 2019,start seizoen - 1ste les
21 september 2019, geen les
28 september 2019,2de les
5 oktober 2019,3de les
12 oktober 2019,1ste stapjestornooi in Overslag 
19 oktober 2019,4de les
26 oktober 2019,5de les
14 december 2019,2de stapjestornooi in Wetteren
11 januari 2020,3de stapjestornooi in Landegem
22 februari 2020,4de stapjestornooi in Lokeren
4 april 2020,5de stapjestornooi in Evergem

