r,team,1,2,3,4,5,6,7,8,9,bp,mp
1,243 Kessel-Lo 1,XX,10,9,8,11,10,12,12,10,82,23
2,124 Deurne 3,6,XX,10,8,8,12,12,10,12,78,21
3,132 Oude God Mortsel 3,7,6,XX,8,10,11,11,10,12,75,19
4,228 Dworp 2,8,8,8,XX,9,8,11,10,12,74,20
5,244 Thibaut 3,4,7,6,7,XX,12,10,12,11,69,16
6,101 K Antwerpse SK 3,6,4,5,8,4,XX,8,12,10,57,15
7,130 Moretus Hoboken 2,4,4,5,4,6,7,XX,7,7,44,8
8,240 Machelen 2,4,4,6,6,4,4,9,XX,6,43,10
9,701 O’Kelly Hasselt 3,0,3,4,3,5,6,9,9,XX,39,11
