r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,340 Izegem 3,XX,2,4,2.5,3.5,4,3,3.5,4,2.5,4,3,36,10.5
2,228 Dworp 3,2,XX,2,2,1,3,3,2.5,2.5,3,3.5,3,27.5,8.5
3,462 Zottegem 1,0,2,XX,1.5,2,2.5,2,2.5,2,4,3,3,24.5,7
4,402 Jean Jaurès Gent 4,1.5,2,2.5,XX,1.5,2.5,4,2.5,1.5,1.5,1.5,3.5,24.5,5.5
5,422 MSV Eeklo 2,0.5,3,2,2.5,XX,1,1,2,2,3,2,4,23,6
6,533 Lessines 2,0,1,1.5,1.5,3,XX,2,2.5,2,2,3,4,22.5,5.5
7,475 Rapid Aalter 2,1,1,2,0,3,2,XX,2,2,2.5,2.5,2.5,20.5,6
8,418 Geraardsbergen 2,0.5,1.5,1.5,1.5,2,1.5,2,XX,3,2.5,1,3.5,20.5,4
9,410 Sint-Niklaas 2,0,1.5,2,2.5,2,2,2,1,XX,2,1,3,19,4.5
10,472 Mercatel Sint-Amandsberg 3,1.5,1,0,2.5,1,2,1.5,1.5,2,XX,2.5,3.5,19,4
11,417 Aalst 2,0,0.5,1,2.5,2,1,1.5,3,3,1.5,XX,1.5,17.5,3.5
12,432 Wetteren 2,1,1,1,0.5,0,0,1.5,0.5,1,0.5,2.5,XX,9.5,1
