r,team,1,2,3,4,5,6,7,8,9,10,11,12,bp,mp
1,203 Fous du Roy 1,XX,1,2.5,3.5,2.5,3,4,4,1.5,3,3,4,32,9
2,514 Fontaine 2,3,XX,2.5,3.5,2,2.5,1.5,3.5,2.5,3.5,3,2.5,30,9.5
3,952 Wavre 2,1.5,1.5,XX,1,2.5,3,2,3,2.5,3,2.5,3,25.5,7.5
4,249 Ruisbroek 1,0.5,0.5,3,XX,3,2,3,2,2.5,3,2,3,24.5,7.5
5,209 Anderlecht 3,1.5,2,1.5,1,XX,2.5,2,2,3,2.5,1,2,21,5
6,228 Dworp 2,1,1.5,1,2,1.5,XX,0.5,3,3,2.5,2,2.5,20.5,5
7,501 CRE Charleroi 3,0,2.5,2,1,2,3.5,XX,2,1,1,3,2,20,5
8,951 Lasne 2,0,0.5,1,2,2,1,2,XX,3,3,2.5,2,19,5
9,260 Humbeek 3,2.5,1.5,1.5,1.5,1,1,3,1,XX,0,3,2.5,18.5,4
10,266 Desperado Leuven 3,1,0.5,1,1,1.5,1.5,3,1,4,XX,1.5,2.5,18.5,3
11,244 Brussels 3,1,1,1.5,2,3,2,1,1.5,1,2.5,XX,1.5,18,3
12,953 Nivelles,0,1.5,1,1,2,1.5,2,2,1.5,1.5,2.5,XX,16.5,2.5
