R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,Waterloo,XX,10,7,10,7,11,10,10,12,12,89.0,23
2,Flenu,6,XX,9,10,12,8,9,9,12,11,86.0,24
3,Thibaut 4,9,7,XX,11,9,7,10,9,11,9,82.0,23
4,Ech. Anderlecht 3,6,6,5,XX,9,9,10,8,12,11,76.0,20
5,Flenu 2,9,4,6,7,XX,7,11,10,9,11,74.0,19
6,Dworp 3,5,8,9,7,9,XX,7,9,8,11,73.0,19
7,Tournai ,6,7,6,6,5,9,XX,9,11,9,68.0,17
8,Binche,6,7,7,8,6,7,7,XX,6,9,63.0,12
9,Caïssa Woluwe 3,4,3,5,4,7,8,5,10,XX,10,56.0,14
10,Ath 3,4,5,7,5,5,5,7,7,6,XX,51.0,9
