R,TEAM,1,2,3,4,5,6,7,8,9,10,BP,MP
1,Queen Caïssa Brussels 3,XX,9,8,10,11,11,11,9,11,9,89.0,26
2,Zaventem,7,XX,11,10,8,10,10,11,8,7,82.0,21
3,Leuven,8,5,XX,11,8,9,8,8,11,8,76.0,21
4,Dworp 2,6,6,5,XX,8,9,10,7,9,12,72.0,18
5,Ech. Anderlecht 1,5,8,8,8,XX,8,8,7,9,10,71.0,18
6,Le Mat 5,5,6,7,7,8,XX,8,7,10,11,69.0,15
7,Machelen,5,6,8,6,8,8,XX,9,10,8,68.0,17
8,Tervuren,7,4,7,9,9,9,7,XX,6,10,68.0,17
9,Amay 2,5,8,5,7,7,6,6,10,XX,11,65.0,14
10,Thibaut 3,7,9,8,4,6,5,8,6,5,XX,58.0,13
