r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,209 SK Anderlecht 3,XX,3.5,4,3.5,3,4.5,5.5,5.5,4.5,4,38,17
2,201 CRE Bruxelles 3,2.5,XX,2.5,3.5,4.5,4,3.5,5.5,5.5,5.5,37,14
3,223 Wavre 1,2,3.5,XX,3,5,3,4,3,5,5.5,34,13
4,501 CRE Charleroi 1,2.5,2.5,3,XX,4.5,2.5,3,4.5,5,5,32.5,10
5,244 Thibaut 1,3,1.5,1,1.5,XX,5,5.5,1.5,4,4.5,27.5,9
6,418 Geraardsbergen 1,1.5,2,3,3.5,1,XX,4,4.5,5.5,2.5,27.5,9
7,518 Soignies 1,0.5,2.5,2,3,0.5,2,XX,2,5,5,22.5,5
8,228 Dworp 1,0.5,0.5,3,1.5,4.5,1.5,4,XX,4,2.5,22,7
9,274 Westland 1,1.5,0.5,1,1,2,0.5,1,2,XX,5,14.5,2
10,245 Roque Anderlecht 3,2,0.5,0.5,1,1.5,3.5,1,3.5,1,XX,14.5,4
