r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,280 Chess Club 1,XX,2,2.5,2.5,3.5,1,3,3.5,2,4,20,12
2,278 Pantin 1,2,XX,1,2.5,3,3.5,3,1,3.5,4,19.5,11
3,216 Lasne-Waterloo 2,1.5,3,XX,2.5,1.5,3,1,2,2.5,,17,9
4,244 Thibaut 2,1.5,1.5,1.5,XX,2.5,1.5,3,2.5,3,2,17,8
5,228 Dworp 2,0.5,1,2.5,1.5,XX,3.5,2,2,3,3.5,16,8
6,243 LV Leuven 3,3,0.5,1,2.5,0.5,XX,2.5,2.5,3,,15.5,10
7,223 Wavre 2,1,1,3,1,2,1.5,XX,3.5,0.5,,13.5,5
8,245 Roque Anderlecht 5,0.5,3,2,1.5,2,1.5,0.5,XX,2,3.5,13,5
9,229 Woluwe 2,2,0.5,1.5,1,1,1,3.5,2,XX,4,12.5,4
10,274 Westland 3,0,0,,2,0.5,,,0.5,0,XX,,
